ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE

"BX363",26254.46878127999
"BX361",47572.25582304003
"BX240",53608.83987888014
"BX218",94827.85163424003
"BX220",25125.603942240014
"BX334",2014615.359148322
"BX60",91965.53219760003
"QN136",46664.73247679993
"QN138",30626.532295199995
"QN749",193470.39499392067
"QN773",118758.07216080015
"QN775",75525.80507711999
"QN383.02",1987835.6398046394
"QN757.01",46028.76471648004
"QN216",311298.34514400025
"QN769.01",45851.45926463999
"QN769.02",19816.845527519996
"QN1507.01",308245.7835072
"QN1529.01",574414.8743937598
"QN1507.02",288398.6283628802
"QN1529.02",289466.1307440004
"BK101",44435.965321440155
"BK1502",47962.72730016003
"BK145",44093.942779679994
"BK147",13279.258602720003
"BK175",1461423.255212161
"BK143",55651.80095424009
"QN892",894562.9308705599
"QN884",566979.8673283202
"BK702.02",1907553.5706916829
"BK666",2173416.3834811216
"BX175",33594.017973120004
"BX179.02",20295.18005472001
"BX221.02",8275.315062240003
"BX223",13957.822406879997
"BX147.02",33224.77484064006
"BX145",35914.36430016001
"BX225",36125.765167679994
"BX147.01",38823.25138560001
"BX177.02",33599.47602672002
"BX181.02",11537.60531184001
"BX181.01",18103.295406240002
"BX177.01",18340.453641600012
"BX179.01",8567.448671519995
"BX171",141365.09791440002
"BK360.02",24505.70840784
"BK356.02",55207.190230560016
"BK362",54143.70590592003
"BK360.01",30596.292355679983
"BK352",155190.57994080058
"SI198",2579222.0879971203
"QN799",54465.475584959975
"QN1205",38001.686577120025
"QN845",43228.59741360006
"QN803.01",55152.958080960045
"QN797.02",133307.47790064008
"QN837",285374.9827972799
"QN496",60237.63436319995
"QN540",161576.78136192018
"QN542",142035.55592832045
"QN558",56531.12822784
"QN548",51602.714858880005
"QN568",190552.1014756802
"QN492",170558.34533424012
"SI244.01",1002763.8035006403
"BK20",32941.095408
"BK18",787158.0282614414
"BK22",100556.16017760005
"BK38",67120.86704832001
"BK44",230391.87469920036
"BK46",171732.57008256018
"SI189.01",384900.52310064033
"SI189.02",252513.08723088005
"BX138",291667.8166631994
"BX118",354148.2233150409
"QN564",56943.01385567994
"QN560",57739.95935856009
"QN554",57707.39684303999
"QN562",51839.33890176001
"QN1621",202217.0536296001
"BK864",41657.816039040015
"BK866",37296.06476256
"BK868",27574.528076639977
"BK870",32918.47351775999
"BK878",32227.181997119944
"BK880",41328.33540767998
"BK876",51799.66930368
"BK882",55370.95506431997
"BK808",112974.78824352004
"QN938",253042.30939824015
"QN934.01",189398.73345984018
"QN934.02",132287.4025214401
"QN1409.02",174194.4774167998
"QN1341",176944.87191600027
"QN1347",408930.1963315205
"QN1417",223357.21005888033
"BK702.03",825476.5838822402
"BX516",428542.14420432027
"BX456",283811.93560080027
"BX504",3305721.2827377613
"QN1567",661626.3025512032
"QN1551.01",310937.85812304076
"QN1551.02",429221.35832976014
"BK499",25955.506798559996
"BK517",90293.09167152029
"BK569",27991.174985280006
"BK591",75582.3133512
"BK501",34514.15290704
"BK515",74008.07133840017
"BK519",60839.62283664003
"BK477",46659.87829296006
"BK497",32110.89061680001
"BK439",38488.84689312002
"QN549",42464.95765056001
"QN551",31061.806263359984
"QN553",26594.261650079996
"QN583",28403.78061168001
"QN557",49423.20954047999
"QN559",18421.720575840012
"QN555",21454.72612271997
"QN565",12979.344363839999
"BK460",66714.55560288003
"BK516.01",20178.67964255999
"BK516.02",21396.15075600002
"BK518",85321.43193744002
"BK764",64785.354300000065
"BK790",35063.83696896
"BK766",23852.66971391999
"BK772",124615.21399487997
"BK770",50549.612448959975
"BK788",31939.461282240016
"SI89",3.08902608
"SI67",448529.62939056044
"SI97",581861.1924043201
"SI81",391766.31324000016
"QN394",101352.78051983993
"QN352",139853.84416272002
"QN376",248779.7553427202
"QN366",95207.54635872012
"QN62.01",118188.97136352015
"QN88",132648.1217999999
"QN864",278850.1003631976
"QN58",155810.03418576004
"QN86",89825.09260751994
"QN62.02",488730.47027904075
"BK798.02",13674.770069759998
"BK213",28450.185680160022
"BK327",19774.923030720023
"BK177",1583926.9456881608
"QN1072.02",2455274.637828001
"QN657.02",16041.823400159998
"QN657.03",42006.03985872001
"QN659",28259.153804160007
"QN613.02",429730.8386011204
"QN619",23782.922756640008
"QN621",18955.285960320005
"QN655.01",612229.7561831997
"QN633.02",12263.8980528
"QN635",16160.78574288002
"QN639",33642.513360000085
"QN637",90181.42221744005
"QN561",1785478.62774528
"QN641.02",1700651.439980642
"SI291.02",4779350.766440641
"QN1211",700711.5172838408
"QN1207",325691.11635839974
"QN1339",71831.09762784006
"QN1277",406579.7261937601
"QN1333",211286.2251686401
"QN153",33227.19031968001
"QN161",21547.88464608003
"QN159",41637.44704752001
"QN169",100034.64896256
"QN163",90425.13011711992
"QN295",63740.659615200006
"QN171",380033.56509264
"QN255",41723.35913376001
"QN779.04",88327.77431184011
"QN779.06",70417.81013184003
"QN779.07",56675.54600352005
"QN779.08",73139.10275376018
"QN1227.01",181622.70256031989
"QN1227.02",126436.90325472003
"QN1257",98434.99796832
"BK110",8066.67806015999
"BK114",26674.599553919994
"BK222",43976.768820480225
"BK112",20615.045221440014
"BK224",26452.35225648001
"BK230",32547.558130560064
"BK226",8793.690799679995
"BK498",19815.40553040002
"BK90",9690.34449024
"BK92",11675.241165600015
"BK188",52230.971666880105
"BK190",56492.61991776001
"BK192",59794.904926079995
"BK194",52341.31725264002
"BK196",45226.26825696007
"BK198",33420.103482239996
"BK208",30969.04257792003
"BK210",33961.49594784004
"BK250",43859.52518400001
"BK262",52578.24323039995
"BK200",25220.01665664001
"BX434",50145.27519312
"BX414",124786.29494304016
"BX442",57468.72893328008
"BX444",136962.9802670401
"BX93",825796.4722747197
"SI29",151768.7751715202
"SI33",426203.40307536034
"SI39",265117.0568616002
"SI47",402061.2707145601
"SI40",398674.2581337601
"SI128.05",452895.81678719993
"SI128.06",557913.8777183999
"QN28",67571.47001808001
"QN124",47748.58579296
"QN126.01",42111.11319696004
"QN126.02",43179.707188800116
"QN128",44499.88261295998
"QN130",56424.59166672012
"QN24",30619.425212639973
"QN26",33374.395186559996
"QN132",54380.81768976005
"QN779.02",167180.1353164803
"QN152",58142.229521759975
"QN206",36153.05543568
"QN150",46689.46791120006
"QN148",54141.89429664002
"QN212",52842.73818528006
"QN208",127137.50830512044
"QN142.02",170068.60695888
"SI9901",44220.03543072
"QN106",45223.17923087999
"QN154",37385.48393856001
"QN122",50777.17844543999
"QN144",46541.82175487999
"QN120",41760.659704320045
"QN110",47432.39029632002
"QN108",43701.63646752
"QN118",44096.72987088005
"BK628",195178.53351311997
"QN716",4725349.782829923
"BX131",42176.12209919999
"BX77",20813.997081599995
"BX75",78954.4382198401
"BX79",49071.96637200001
"BX87",63035.22360672
"BX129.01",31861.74788927999
"BX185",86179.06635120003
"BX85",35275.77202895997
"BX133",57398.02971984007
"BX135",60359.49992592006
"SI154",939107.9179094405
"BK236",53889.267705119964
"BK238",52954.96505759994
"BK240",54422.136316800046
"BK242",62979.80694336002
"BK470",63149.07628224007
"BK472",54131.303350080016
"BK234",52374.85525008002
"BK216",57046.623971040055
"BK218",45754.677522720056
"BK452",47777.54831568001
"BK462.01",35925.32685887996
"BK448",86360.66856864041
"BK450",130013.39158559997
"BK468",153302.62758767986
"BK458",62960.529562560005
"BK462.02",38603.558921760545
"BK464",40214.61376416002
"BK474",56690.71242480018
"QN1032.01",143737.77187872038
"QN998.01",129719.74830191999
"QN1008.02",443798.1007891195
"QN992",275762.23557120014
"QN1032.02",203676.2816788802
"BK1182.01",12137.782176000004
"QN34",53325.13722048003
"BK1186",33093.735102720006
"QN6",44375.97318335998
"BK1184",36915.90552288001
"QN4",37048.26912911998
"BK1182.02",16686.94210992
"QN36",45851.29668432003
"QN42",46483.896709440014
"QN446.02",33548.77419263998
"QN254",204519.91095936042
"QN446.01",30608.811040320023
"QN460",26709.600774240003
"QN440",124592.19726672006
"QN246",141737.1745896002
"QN462",40178.009966399986
"QN444",134697.58608816008
"QN918",376798.3096276802
"SI226",4195869.948888483
"BK550",48267.63507744004
"BK560",53844.674245919996
"BK562",56111.90325984001
"BK564",48198.16682928
"BK640",40652.62837200004
"BK642",88888.16544912008
"BK644",48340.70331840001
"BK546",37973.513730239996
"BK548",54631.493317440094
"SI169.01",265113.48009455996
"SI177",1571500.3279608013
"BK553",54534.967058880036
"BK557",119163.54747888
"BK555",121741.44425856006
"SI112.01",617549.0590929607
"SI70",1138222.2422606407
"QN1429",163382.7467822401
"SI156.03",305495.4819110399
"SI156.01",537601.76608464
"SI156.02",318163.8798000001
"BK74",33652.26817920005
"BK76",39825.72163872002
"BK78",41501.29764240003
"BK102",40734.91723968001
"BK70",42662.88757728001
"BK72",9884.813778720003
"BK122",37389.64134960006
"QN594",72965.14181136008
"QN596",54079.835065920015
"QN600",50904.385932959995
"QN590",51070.426891200026
"QN592",87935.46799968112
"QN622",162748.9854691201
"QN140",60222.11955551993
"QN142.01",45484.56193392002
"QN280",42343.81208640004
"QN284",123854.84906400004
"QN426",310821.6131942401
"QN432",89840.23580303992
"QN278",53199.578761919984
"QN282",43126.21826352012
"QN334.01",213769.03568687936
"BX394",13521.89811744002
"BX396",43385.975163360075
"BX398",50859.049249439995
"BX404",51322.49606447999
"BX406",41224.44658320002
"BX388",39471.807507839985
"BX390",29772.614003040002
"QN185.01",10034.062512480003
"QN185.02",7208.3236478399995
"QN189",22152.42795312005
"QN187",23663.031383520007
"QN183",60677.46058032001
"QN253.01",21951.989644319983
"QN181.01",15493.858044479992
"QN181.02",11828.159569439998
"QN235",11109.020362559995
"QN229",957589.93255824
"SI8",282623.9844283204
"SI6",383920.6050604801
"QN664",1332019.214665921
"BK620",144530.0257780801
"BK364",43966.31722848004
"BK366",78078.01416623998
"BK370",98995.94652383993
"BK606",45500.81996591998
"BK608",132856.92138240003
"BK610.03",19305.29816351999
"BK610.04",50165.59773312001
"BK612",86199.36566543984
"BK340",46748.29876128005
"SI291.04",651820.9673232007
"SI303.01",199982.8748721598
"BX428",44799.19298208
"BX448",56488.23024912008
"BX426",141076.91268432006
"BX458",88624.99436256
"BX484",289746.58179600025
"BX144",129412.05343344015
"BX132",167499.8146771204
"BX110",908702.4251721598
"QN266",50906.47625136001
"QN434",64991.73840336004
"QN424",186042.03049584015
"QN357",234883.78313471997
"QN331",554283.4127212808
"QN347",109840.30935119998
"BK2",73494.34075296001
"BK84",44084.67570143999
"QN1483",599397.7095892801
"QN1113",249890.55054048053
"QN1385.02",1350307.3174444805
