BBL,LandUse,XCoord,YCoord,ITZ_GEOID,land_use2011,x_coord2011,y_coord2011,land_use2016,x_coord2016,y_coord2016,land_use2019,x_coord2019,y_coord2019
1000030001,,,,MN317.04,09,0979906,0195360,9,979916,195328,09,979916,195328
1000060001,,,,MN9,09,0981520,0195227,9,981505,195256,09,981505,195256
1000120028,,,,MN13,09,0980464,0196129,9,980468,196126,09,980468,196126
1000280028,,,,MN7,09,       ,       ,9,,,09,981660,196035
1000290019,,,,MN9,09,0981321,0195757,9,981318,195761,09,981318,195761
1000870001,,,,MN13,09,0981600,0198480,9,981594,198484,08,981594,198484
1000940002,,,,MN15.01,09,       ,       ,9,982843,197617,09,982843,197617
1001060022,,,,MN15.01,09,0983881,0197592,9,983868,197609,09,983868,197609
1001150001,,,,MN27,09,0984137,0198483,9,984121,198484,09,984121,198484
1001170100,,,,MN27,09,       ,       ,9,,,09,984769,199229
1001410039,,,,MN39,09,0981641,0200566,9,981653,200562,09,981653,200562
1001420003,,,,MN21,09,0980898,0200215,9,980901,200212,09,980901,200212
1001420030,,,,MN39,09,0980997,0200560,9,981047,200532,09,981047,200532
1001550031,,,,MN29,09,0983389,0199551,9,,,09,983386,199541
1001580017,,,,MN29,09,0983488,0199479,9,,,09,983489,199471
1001650001,,,,MN29,09,0984262,0199819,9,984248,199821,09,984248,199821
1001680001,,,,MN29,09,0983519,0199791,9,983500,199793,09,983500,199793
1001690001,,,,MN31,09,0983743,0200258,9,983745,200254,09,983745,200254
1001900053,,,,MN33,09,0982641,0201684,9,982649,201682,09,982649,201682
1002200008,,,,MN37,09,0982557,0202334,9,982556,202330,09,982556,202330
1002270033,,,,MN47,09,0982858,0202433,9,982853,202431,09,982853,202431
1002270063,,,,MN37,09,0982633,0202551,9,982632,202550,09,982648,202588
1002270069,,,,MN37,09,0982594,0202588,9,982584,202584,,,
1002270070,,,,MN37,09,0982608,0202652,9,982607,202652,,,
1002270076,,,,MN37,09,0982693,0202630,9,982687,202638,,,
1002270080,,,,MN37,09,0982704,0202567,9,982700,202561,,,
1002430001,,,,MN2.01,09,0989131,0198128,9,989177,198133,09,989177,198133
1002450028,,,,MN2.01,09,0988054,0198427,9,988053,198427,09,988053,198427
1002490001,,,,MN8,09,0986200,0197934,9,986198,197933,09,986198,197933
1002490056,,,,MN8,09,0986302,0198146,9,986308,198148,09,986308,198148
1002490078,,,,MN8,09,0986097,0198105,9,986088,198102,09,986088,198102
1002490999,,,,MN9,09,       ,       ,9,986162,198031,09,986105,198014
1002500043,,,,MN8,09,0985584,0198006,9,985586,198007,09,985586,198007
1002540001,,,,MN8,09,0986019,0198267,9,986019,198267,09,986040,198323
1002540020,,,,MN8,09,0986229,0198401,9,986223,198396,09,986223,198396
1002540033,,,,MN8,09,0986304,0198505,9,986302,198502,09,986302,198502
1002540051,,,,MN8,09,0985965,0198409,9,985968,198408,09,985968,198408
1002560003,,,,MN6,09,       ,       ,9,,,09,987567,198814
1002590028,,,,MN2.01,09,0988612,0198669,9,988612,198668,09,988587,198692
1002590051,,,,MN2.02,09,0988487,0198706,9,988486,198701,09,988486,198701
1002600070,,,,MN2.02,09,0989235,0198828,9,989234,198828,09,989234,198828
1002620014,,,,MN2.02,09,0989996,0198600,9,989929,198596,09,989929,198596
1002620025,,,,MN2.02,09,0990285,0198305,9,990284,198304,09,990345,198443
1002670050,,,,MN2.02,09,0989382,0199395,9,989377,199396,09,989377,199396
1002710063,,,,MN6,09,0987072,0199045,9,987071,199044,09,987071,199044
1002790017,,,,MN27,09,0984704,0198956,9,984703,198950,09,984703,198950
1002790019,,,,MN27,09,0984651,0198932,9,984656,198931,09,984656,198931
1002790030,,,,MN27,09,0984971,0198775,9,984970,198774,09,984970,198774
1002820001,,,,MN8,09,0985837,0199132,9,985829,199147,09,985829,199147
1002840001,,,,MN6,09,0987073,0199256,9,987073,199256,09,987073,199256
1002880001,,,,MN2.02,09,0988726,0199497,9,988724,199497,09,988724,199497
1002880076,,,,MN2.02,09,0988497,0199443,9,988519,199514,09,988499,199456
1003020001,,,,MN16,09,0985908,0200454,9,985908,200454,09,985908,200454
1003110001,,,,MN14.01,09,0987254,0199686,9,987222,199702,09,987222,199702
1003110006,,,,MN14.01,09,0987258,0200096,9,987259,200073,09,987259,200073
1003110035,,,,MN14.01,09,0987388,0199592,9,987377,199604,09,987377,199604
1003150040,,,,MN14.01,09,0987880,0199620,9,987877,199619,09,987877,199619
1003150076,,,,MN14.01,09,0988837,0199688,9,988805,199692,09,988818,199691
1003160114,,,,MN24,09,       ,       ,9,,,09,991996,203597
1003160200,,,,MN24,09,0991523,0201075,9,991620,201279,09,991620,201279
1003230002,,,,MN10.02,09,       ,       ,9,,,,990598,200443
1003250011,,,,MN10.02,09,0990894,0201129,9,990899,201134,09,990899,201134
1003310095,,,,MN12,09,0989279,0200093,9,989279,200092,09,989279,200092
1003310145,,,,MN12,09,0989901,0199855,9,989900,199855,09,989897,199856
1003360025,,,,MN12,09,0989006,0200262,11,989006,200261,11,989006,200261
1003400001,,,,MN22.01,09,0989564,0201492,9,989558,201496,09,989558,201496
1003440054,,,,MN22.01,09,0989094,0201399,9,989093,201399,09,989093,201399
1003440148,,,,MN22.01,09,0988558,0201596,9,988558,201596,09,988558,201596
1003500005,,,,MN30.01,09,0988464,0201940,9,988464,201939,09,988464,201939
1003550010,,,,MN30.01,09,0988122,0202241,9,988122,202245,09,988122,202245
1003550059,,,,MN30.01,09,0988367,0202096,9,,,,,
1003560090,,,,MN20,09,0990652,0201491,9,990658,201479,09,990658,201479
1003710003,,,,MN22.02,09,0989604,0201857,9,989569,201872,09,989569,201872
1003750033,,,,MN26.01,09,0990455,0202523,9,990454,202522,09,990454,202522
1003750034,,,,MN26.01,09,0990474,0202512,9,990473,202512,09,990473,202512
1003750035,,,,MN26.01,09,0990493,0202502,9,990493,202503,09,990493,202503
1003800050,,,,MN28,09,0991053,0203582,9,991053,203582,09,991053,203582
1003890040,,,,MN26.02,09,0989911,0202999,9,989910,202998,09,989910,202998
1003890041,,,,MN26.02,09,0989889,0203011,9,989888,203010,09,989888,203010
1004030001,,,,MN32,09,0989318,0203944,9,989318,203943,09,989318,203943
1004050024,,,,MN34,09,0989858,0204573,9,989857,204572,09,989857,204572
1004180001,,,,MN18,09,0986191,0201194,9,986191,201194,09,986191,201194
1004200001,,,,MN18,09,0986592,0202214,9,986592,202214,09,986592,202214
1004280001,,,,MN30.02,09,0987608,0202654,9,987566,202673,09,987566,202673
1004310020,,,,MN32,09,0988216,0203185,9,988215,203185,09,988215,203185
1004310040,,,,MN32,09,0988169,0203099,9,988168,203099,09,988168,203099
1004370015,,,,MN34,09,0988797,0204574,9,988797,204573,09,988797,204573
1004420001,,,,MN36.02,09,0987091,0202864,9,987243,202829,09,987121,202873
1004440049,,,,MN36.02,09,0987328,0203261,9,987322,203268,09,987322,203268
1004460013,,,,MN38,09,0987534,0203795,9,987534,203812,09,987534,203812
1004560001,,,,MN36.02,09,0986526,0203088,9,986448,203131,09,986500,203105
1004580030,,,,MN36.02,09,0986781,0203627,9,986759,203636,09,986759,203636
1004800017,,,,MN41,09,0985327,0202189,9,985327,202192,09,985327,202192
1005030030,,,,MN49,09,0983528,0203517,9,983534,203556,09,983534,203556
1005190049,,,,MN37,09,0983279,0204253,9,983276,204242,09,983276,204242
1005200070,,,,MN37,09,0983496,0204511,9,983497,204507,09,983497,204507
1005260001,,,,MN65,09,0983631,0204717,9,983625,204709,09,983625,204709
1005270080,,,,MN67,09,0983498,0205166,9,983498,205166,09,983497,205182
1005420010,,,,MN65,09,0983802,0205347,9,983802,205346,09,983804,205351
1005420026,,,,MN65,09,0983739,0205195,9,983741,205187,09,983741,205187
1005430001,,,,MN65,09,0983881,0205480,9,983882,205483,09,983882,205483
1005430032,,,,MN65,09,0983986,0205665,9,983990,205678,09,983990,205678
1005490001,,,,MN65,09,0984700,0205699,9,984914,205559,09,984914,205559
1005570041,,,,MN61,09,0986848,0205798,9,986850,205797,09,986850,205797
1005740008,,,,MN63,09,0984851,0207085,9,984848,207088,09,984848,207088
1005820001,,,,MN67,09,0982553,0205159,9,982544,205162,09,982544,205162
1005820050,,,,MN67,09,0982748,0205094,9,982742,205099,09,982742,205099
1005920087,,,,MN71,09,0983632,0206548,9,983608,206541,09,983608,206541
1006060013,,,,MN71,09,0984269,0207196,9,984258,207194,09,984258,207194
1006160054,,,,MN77,09,       ,       ,9,983461,208487,09,983461,208487
1006230002,,,,MN77,09,0982727,0207561,9,982726,207561,09,982729,207529
1006240024,,,,MN77,09,0982758,0207919,9,982745,207907,09,982745,207907
1006270025,,,,MN77,09,0982916,0208541,9,982921,208540,09,982921,208540
1006680030,,,,MN99,09,0982028,0212093,9,982018,212099,09,982018,212099
1006690001,,,,MN99,09,0982019,0212380,9,982014,212383,09,982014,212383
1006690017,,,,MN99,09,0982232,0212320,9,982231,212320,09,982231,212320
1006690031,,,,MN99,09,0982102,0212447,9,982102,212446,09,982102,212446
1006690038,,,,MN99,09,0982003,0212502,9,981998,212506,09,981998,212506
1007190086,,,,MN89,09,0983058,0211295,9,983057,211294,09,983057,211294
1007220057,,,,MN93,09,0983635,0211902,9,983635,211901,09,983635,211901
1007240100,,,,MN97,09,0984060,0212494,9,984060,212493,09,984048,212500
1007400024,,,,MN83,09,0983693,0209483,9,983693,209481,09,983693,209481
1007440055,,,,MN89,09,0983914,0210529,9,983913,210528,09,983913,210528
1007490070,,,,MN93,09,0984609,0211658,9,984608,211658,09,984612,211644
1007819001,,,,MN101,09,       ,       ,9,,,09,,
1007960047,,,,MN87,09,0985796,0209470,9,985796,209468,09,985796,209468
1008100045,,,,MN109,09,       ,       ,9,987672,212628,09,987672,212628
1008260042,,,,MN56,09,       ,       ,9,987305,209866,,987305,209866
1008340001,,,,MN76,09,0987481,0212002,9,987486,212016,09,987486,212016
1008450002,,,,MN52,09,0986927,0207371,9,986917,207357,09,986917,207357
1008450010,,,,MN52,09,       ,       ,9,,,09,986955,206990
1008520001,,,,MN56,09,0987615,0209722,9,987581,209697,09,987581,209697
1008760017,,,,MN50,09,0988158,0208126,9,988158,208126,09,988158,208126
1008970040,,,,MN48,09,0988563,0206628,9,988564,206631,09,988564,206631
1009100027,,,,MN70,09,0990213,0209615,9,990209,209610,09,990209,209610
1009190035,,,,MN78,09,0991403,0211767,11,991402,211766,11,991402,211766
1009220001,,,,MN48,09,0988808,0206495,9,988808,206494,09,988808,206494
1009250001,,,,MN64,09,0989189,0207274,9,989188,207273,09,989195,207257
1009310017,,,,MN66,09,       ,       ,3,,,03,990207,208435
1009340050,,,,MN66,09,0990323,0208879,9,990323,208878,09,990323,208878
1009350001,,,,MN70,09,0990408,0209502,9,990406,209500,09,990406,209500
1009410001,,,,MN78,09,0991231,0210921,9,991230,210920,09,991230,210920
1009410011,,,,MN78,09,0991535,0210752,9,991535,210752,09,991535,210752
1009680050,,,,MN86.01,09,       ,       ,9,,,09,992436,210549
1009690050,,,,MN86.01,09,       ,       ,9,,,09,992564,210775
1009810002,,,,MN62,09,0991025,0207527,9,991043,207550,09,991043,207550
1009900070,,,,MN44,09,0991591,0205353,9,991581,205356,09,991581,205356
1009900090,,,,MN44,09,       ,       ,9,,,11,991789,205198
1010180065,,,,MN125,09,0988414,0215838,9,988413,215826,,988413,215826
1010240052,,,,MN131,09,0988656,0217496,3,988655,217496,03,988662,217463
1010340005,,,,MN121,09,0986664,0215798,9,986664,215796,09,986664,215796
1010380008,,,,MN127,09,0987200,0216693,9,987200,216692,09,987200,216692
1010410006,,,,MN133,09,0987528,0217407,9,987528,217407,09,987528,217407
1010550011,,,,MN121,09,0986262,0216670,9,986262,216673,09,986262,216673
1010570001,,,,MN127,09,0986305,0217247,9,986304,217246,09,986304,217246
1011000001,,,,MN135,09,0985832,0219150,9,985831,219149,09,985831,219149
1011110001,,,,MN143,09,0993808,0224395,9,993791,224362,09,993791,224362
1011160001,,,,MN149,09,       ,       ,9,,,09,989085,220468
1011340010,,,,MN149,09,0988406,0220616,9,988406,220615,09,988406,220615
1011370036,,,,MN149,09,0989273,0221105,9,989265,221101,09,989265,221101
1011490001,,,,MN161,09,0990134,0224144,9,990135,224139,09,990135,224139
1011510015,,,,MN147,09,0987372,0220280,9,987371,220280,09,987371,220280
1011540164,,,,MN151,09,0987863,0221202,9,987863,221202,09,987863,221202
1011620057,,,,MN159,09,0988585,0222949,9,988585,222948,11,988585,222948
1011640032,,,,MN159,09,0989377,0223170,9,989375,223154,09,989375,223154
1011710071,,,,MN151,09,0987214,0221204,9,987329,221487,09,987329,221487
1011710130,,,,MN155,09,0987112,0222842,9,987399,223330,09,987642,223804
1011870001,,,,MN167,09,0988512,0224846,9,988511,224845,09,988467,224589
1011870003,,,,MN187,09,0987845,0224723,9,,,09,987858,224787
1011870004,,,,MN187,09,0988203,0224553,9,,,09,988042,224204
1012190041,,,,MN173,09,0992034,0226603,9,992033,226602,09,992033,226602
1012200049,,,,MN173,09,0991996,0226921,9,991996,226920,11,991996,226920
1012530093,,,,MN183,09,0991185,0229030,9,991193,229130,09,991193,229130
1012540010,,,,MN167,09,0989469,0227540,9,988763,226272,09,989432,227489
1012570002,,,,MN84,09,0988758,0213913,9,988758,213913,08,988758,213913
1012740034,,,,MN112.01,09,       ,       ,9,,,,991577,217672
1012890006,,,,MN102,09,0991154,0216293,9,991153,216292,09,991153,216292
1013250010,,,,MN98,09,0992759,0214806,9,992761,214808,09,992761,214808
1013340017,,,,MN88,09,0992306,0212092,9,992305,212086,09,992305,212086
1013340023,,,,MN88,09,0992458,0212007,9,992457,212007,09,992457,212007
1013340037,,,,MN88,09,0992244,0212176,9,992243,212176,09,992243,212176
1013350012,,,,MN88,09,0992343,0212358,9,992342,212357,09,992342,212357
1013350019,,,,MN88,09,0992455,0212355,9,992454,212355,09,992454,212355
1013350023,,,,MN88,09,0992611,0212259,9,992611,212259,09,992611,212259
1013390027,,,,MN90,09,0992863,0213357,9,992868,213353,09,992868,213353
1013530001,,,,MN86.01,09,0992754,0211930,9,992653,211895,07,992780,211930
1013600020,,,,MN86.03,09,0993894,0213324,9,993904,213323,09,993904,213323
1013610023,,,,MN86.03,09,0994203,0213665,9,994228,213696,09,994228,213696
1013630061,,,,MN86.03,09,0994399,0213898,9,994397,213895,09,994397,213895
1013630063,,,,MN86.03,09,       ,       ,9,,,09,994407,213941
1013720010,,,,MN106.01,09,0995269,0214968,9,995307,215012,09,995273,214962
1014350016,,,,MN110,09,0994723,0216453,9,994723,216452,05,994724,216488
1014420015,,,,MN118,09,0995685,0218060,9,995684,218060,09,995684,218060
1014740021,,,,MN106.02,09,0995701,0215970,9,995700,215969,09,995700,215969
1014880017,,,,MN132,09,0998241,0219535,9,998242,219535,09,998242,219535
1015240046,,,,MN158.01,09,0997892,0225449,9,997892,225448,09,997892,225448
1015360025,,,,MN154,09,0998061,0223805,9,998060,223804,09,998060,223804
1015380010,,,,MN154,09,0997951,0224461,4,998011,224427,,,
1015380012,,,,MN154,09,0998020,0224423,,,,,,
1015730101,,,,MN152,09,0999581,0224457,9,999585,224449,09,999585,224449
1015870001,,,,MN152,09,0999749,0223021,9,999755,222964,08,999755,222964
1015920001,,,,MN136,09,0999844,0221581,9,999898,221686,09,999898,221686
1015960075,,,,MN186,09,0997985,0230818,9,997985,230818,09,997985,230818
1016140030,,,,MN174.01,09,0998861,0228837,9,998860,228837,09,998860,228837
1016280042,,,,MN166,09,0998725,0226532,9,998725,226531,09,998725,226531
1016280043,,,,MN166,09,0998704,0226544,9,998703,226543,09,998703,226543
1016280044,,,,MN166,09,0998681,0226556,9,998681,226556,09,998681,226556
1016280045,,,,MN166,09,0998659,0226568,9,998658,226568,09,998658,226568
1016280046,,,,MN166,09,0998637,0226581,9,998636,226580,09,998636,226580
1016280058,,,,MN166,09,0998391,0226744,9,998391,226744,09,,
1016280060,,,,MN166,09,0998316,0226758,9,998315,226758,09,998362,226747
1016280159,,,,MN166,09,0998337,0226746,9,998337,226746,09,,
1016330028,,,,MN172,09,0999234,0227694,9,999228,227697,09,999228,227697
1016540042,,,,MN170,09,0999566,0227262,9,999566,227261,09,999566,227261
1016560050,,,,MN170,09,0999964,0228179,9,999962,228172,09,999962,228172
1016720010,,,,MN164,09,0999798,0225880,9,999796,225883,09,999796,225883
1016900001,,,,MN162,09,0999733,0224716,9,999731,224718,09,999731,224718
1016960100,,,,MN162,09,       ,       ,9,,,09,1001104,226005
1017000058,,,,MN162,09,       ,       ,9,1001734,226640,07,1001734,226640
1017010049,,,,MN162,09,       ,       ,9,,,07,1001846,226878
1017050001,,,,MN178,09,1002131,0228221,9,1002084,228268,09,1002084,228268
1017190001,,,,MN198,09,0999845,0232378,9,999844,232377,09,999844,232377
1017260033,,,,MN208,09,1000566,0233857,9,1000566,233856,09,1000566,233856
1017280033,,,,MN208,09,1000824,0234404,9,1000827,234403,09,1000827,234403
1017300055,,,,MN212,09,1001047,0235418,9,1001047,235418,09,1001047,235418
1017360015,,,,MN212,09,1001442,0236435,9,1001441,236434,09,1001441,236434
1017360019,,,,MN212,09,1001502,0236402,9,1001501,236401,09,1001501,236401
1017360021,,,,MN212,09,1001535,0236383,9,1001534,236383,09,1001534,236383
1017360022,,,,MN212,09,1001562,0236367,9,1001561,236366,09,1001561,236366
1017410001,,,,MN214,09,1002060,0237785,9,1002091,237744,09,1002091,237744
1017550011,,,,MN206,09,1001277,0234161,9,1001276,234160,09,1001276,234160
1017600046,,,,MN210,09,       ,       ,9,,,09,1002293,235377
1017690029,,,,MN196,09,1001227,0231104,9,1001227,231103,09,1001227,231103
1017710023,,,,MN196,09,1001322,0231651,9,1001322,231650,11,1001322,231650
1017710024,,,,MN196,09,1001344,0231639,9,1001343,231638,11,1001343,231638
1017710025,,,,MN196,09,1001373,0231623,9,1001373,231622,11,1001373,231622
1017710027,,,,MN196,09,1001421,0231614,9,1001421,231613,11,1001424,231630
1017710047,,,,MN196,09,1001435,0231706,9,1001435,231705,09,1001435,231705
1017710048,,,,MN196,09,1001415,0231717,9,1001414,231717,09,1001414,231717
1017710049,,,,MN196,09,1001393,0231729,9,1001393,231729,09,1001393,231729
1017710050,,,,MN196,09,1001371,0231741,9,1001371,231741,09,1001371,231741
1017770021,,,,MN242,09,1002149,0233092,9,1002156,233081,09,1002156,233081
1017770085,,,,MN242,09,1002154,0233295,9,1002154,233291,09,1002154,233291
