BBL,ITZ_GEOID,land_use2011,x_coord,y_coord,land_use2016,land_use2019
1000030001,MN317.04,09,979916,195328,9,09
1000060001,MN9,09,981505,195256,9,09
1000120028,MN13,09,980468,196126,9,09
1000160160,MN317.03,07,979497,199002,7,09
1000280028,MN7,09,981660,196035,9,09
1000290019,MN9,09,981318,195761,9,09
1000560015,MN13,  ,980395,198112,,09
1000560020,MN13,11,980359,198089,11,09
1000560021,MN13,  ,980320,198107,,09
1000940002,MN15.01,09,982843,197617,9,09
1000950101,MN15.01,  ,983233,197047,,09
1001060022,MN15.01,09,983868,197609,9,09
1001070060,MN15.01,10,983865,197063,11,09
1001150001,MN27,09,984121,198484,9,09
1001170100,MN27,09,984769,199229,9,09
1001410039,MN39,09,981653,200562,9,09
1001420003,MN21,09,980901,200212,9,09
1001420030,MN39,09,981047,200532,9,09
1001550031,MN29,09,983386,199541,9,09
1001580017,MN29,09,983489,199471,9,09
1001650001,MN29,09,984248,199821,9,09
1001680001,MN29,09,983500,199793,9,09
1001690001,MN31,09,983745,200254,9,09
1001900053,MN33,09,982649,201682,9,09
1002200008,MN37,09,982556,202330,9,09
1002270033,MN47,09,982853,202431,9,09
1002270063,MN37,09,982648,202588,9,09
1002430001,MN2.01,09,989177,198133,9,09
1002450028,MN2.01,09,988053,198427,9,09
1002490001,MN8,09,986198,197933,9,09
1002490056,MN8,09,986308,198148,9,09
1002490078,MN8,09,986088,198102,9,09
1002490999,MN9,09,986105,198014,9,09
1002500043,MN8,09,985586,198007,9,09
1002540001,MN8,09,986040,198323,9,09
1002540020,MN8,09,986223,198396,9,09
1002540033,MN8,09,986302,198502,9,09
1002540051,MN8,09,985968,198408,9,09
1002560003,MN6,09,987567,198814,9,09
1002590028,MN2.01,09,988587,198692,9,09
1002590051,MN2.02,09,988486,198701,9,09
1002600070,MN2.02,09,989234,198828,9,09
1002620014,MN2.02,09,989929,198596,9,09
1002620025,MN2.02,09,990345,198443,9,09
1002670050,MN2.02,09,989377,199396,9,09
1002710063,MN6,09,987071,199044,9,09
1002790017,MN27,09,984703,198950,9,09
1002790019,MN27,09,984656,198931,9,09
1002790030,MN27,09,984970,198774,9,09
1002820001,MN8,09,985829,199147,9,09
1002840001,MN6,09,987073,199256,9,09
1002880001,MN2.02,09,988724,199497,9,09
1002880076,MN2.02,09,988499,199456,9,09
1003020001,MN16,09,985908,200454,9,09
1003110001,MN14.01,09,987222,199702,9,09
1003110006,MN14.01,09,987259,200073,9,09
1003110035,MN14.01,09,987377,199604,9,09
1003150040,MN14.01,09,987877,199619,9,09
1003150076,MN14.01,09,988818,199691,9,09
1003160114,MN24,09,991996,203597,9,09
1003160200,MN24,09,991620,201279,9,09
1003250011,MN10.02,09,990899,201134,9,09
1003310095,MN12,09,989279,200092,9,09
1003310145,MN12,09,989897,199856,9,09
1003400001,MN22.01,09,989558,201496,9,09
1003440053,MN22.01,11,989046,201397,11,09
1003440054,MN22.01,09,989093,201399,9,09
1003440148,MN22.01,09,988558,201596,9,09
1003440153,MN22.01,11,988680,201567,11,09
1003500005,MN30.01,09,988464,201939,9,09
1003540016,MN30.01,11,987971,201860,11,09
1003540018,MN30.01,11,988029,201850,11,09
1003550010,MN30.01,09,988122,202245,9,09
1003560090,MN20,09,990658,201479,9,09
1003710003,MN22.02,09,989569,201872,9,09
1003730010,MN26.01,11,989880,202262,11,09
1003730011,MN26.01,11,989896,202253,11,09
1003730012,MN26.01,11,989912,202244,11,09
1003730026,MN26.01,11,990189,202090,11,09
1003730027,MN26.01,11,990226,202070,11,09
1003730030,MN26.01,11,990261,202055,11,09
1003730058,MN26.01,11,989926,202123,11,09
1003730059,MN26.01,11,989906,202134,11,09
1003740010,MN26.01,11,989950,202510,11,09
1003740012,MN26.01,11,989972,202498,11,09
1003740013,MN26.01,11,989994,202486,11,09
1003740014,MN26.01,11,990016,202473,11,09
1003740015,MN26.01,11,990038,202461,11,09
1003740016,MN26.01,11,990060,202449,11,09
1003740017,MN26.01,11,990082,202437,11,09
1003740018,MN26.01,11,990103,202425,11,09
1003740059,MN26.01,11,990032,202352,11,09
1003740060,MN26.01,11,990004,202367,11,09
1003740062,MN26.01,11,989967,202388,11,09
1003740064,MN26.01,11,989940,202404,11,09
1003750033,MN26.01,09,990454,202522,9,09
1003750034,MN26.01,09,990473,202512,9,09
1003750035,MN26.01,09,990493,202503,9,09
1003770011,MN26.02,11,990347,203150,11,09
1003770014,MN26.02,11,990379,203132,11,09
1003770018,MN26.02,11,990470,203081,11,09
1003770020,MN26.02,11,990504,203063,11,09
1003770022,MN26.02,11,990542,203042,11,09
1003770024,MN26.02,11,990573,203025,11,09
1003770025,MN26.02,11,990594,203013,11,09
1003770069,MN26.02,11,990253,203084,11,09
1003790001,MN28,11,990432,203521,11,09
1003790002,MN28,11,990443,203540,11,09
1003790003,MN28,11,990461,203558,11,09
1003790004,MN28,11,990477,203574,11,09
1003790005,MN28,11,990489,203596,11,09
1003790006,MN28,11,990501,203618,11,09
1003790007,MN28,11,990512,203637,11,09
1003790059,MN28,11,990550,203494,11,09
1003790061,MN28,11,990515,203514,11,09
1003790063,MN28,11,990477,203516,11,09
1003800050,MN28,09,991053,203582,9,09
1003840028,MN22.02,11,989297,202005,11,09
1003850011,MN22.02,11,989052,202430,11,09
1003850063,MN22.02,05,988999,202335,9,09
1003860021,MN26.01,11,989391,202534,11,09
1003860022,MN26.01,11,989412,202522,11,09
1003860052,MN26.01,11,989386,202423,11,09
1003860060,MN26.01,11,989232,202508,11,09
1003870040,MN26.01,11,989694,202501,11,09
1003870121,MN26.01,11,989588,203002,11,09
1003870122,MN26.01,11,989621,202983,11,09
1003890040,MN26.02,09,989910,202998,9,09
1003890041,MN26.02,09,989888,203010,9,09
1004030001,MN32,09,989318,203943,9,09
1004050024,MN34,09,989857,204572,9,09
1004180001,MN18,09,986191,201194,9,09
1004200001,MN18,09,986592,202214,9,09
1004280001,MN30.02,09,987566,202673,9,09
1004310020,MN32,09,988215,203185,9,09
1004310040,MN32,09,988168,203099,9,09
1004370015,MN34,09,988797,204573,9,09
1004380019,MN34,11,988979,204759,11,09
1004390010,MN34,11,988955,205011,11,09
1004420001,MN36.02,09,987121,202873,9,09
1004430053,MN36.02,11,987131,203054,11,09
1004440049,MN36.02,09,987322,203268,9,09
1004460013,MN38,09,987534,203812,9,09
1004560001,MN36.02,09,986500,203105,9,09
1004580030,MN36.02,09,986759,203636,9,09
1004580040,MN36.02,11,986746,203559,9,09
1004580041,MN36.02,11,986726,203570,9,09
1004800017,MN41,09,985327,202192,9,09
1005030030,MN49,09,983534,203556,9,09
1005190049,MN37,09,983276,204242,9,09
1005200070,MN37,09,983497,204507,9,09
1005260001,MN65,09,983625,204709,9,09
1005270080,MN67,09,983497,205182,9,09
1005420010,MN65,09,983804,205351,9,09
1005420026,MN65,09,983741,205187,9,09
1005430001,MN65,09,983882,205483,9,09
1005430032,MN65,09,983990,205678,9,09
1005490001,MN65,09,984914,205559,9,09
1005570041,MN61,09,986850,205797,9,09
1005740008,MN63,09,984848,207088,9,09
1005820001,MN67,09,982544,205162,9,09
1005820050,MN67,09,982742,205099,9,09
1005920087,MN71,09,983608,206541,9,09
1006060013,MN71,09,984258,207194,9,09
1006160054,MN77,09,983461,208487,9,09
