,2010_distance_from_park,2014_distance_from_park,2018_distance_from_park,d_2010_2014_distance_from_park,d_2014_2018_distance_from_park,d_2010_2018_distance_from_park
SI226,1495.8630427342523,1471.1669706465577,1455.3802408738068,-24.696072087694574,-15.78672977275096,-40.482801860445534
QN892,2239.213800449343,2239.213800449346,2239.2138004493445,2.7284841053187847e-12,-1.3642420526593924e-12,1.3642420526593924e-12
QN884,1552.7809984642297,1552.7809984642251,1552.7809984642317,-4.547473508864641e-12,6.59383658785373e-12,2.0463630789890885e-12
SI177,1563.5833559024966,1563.5833559024966,1563.5833559024916,0.0,-5.002220859751105e-12,-5.002220859751105e-12
SI170.10,1030.600017554344,1030.6000175543418,1034.8889022103403,-2.2737367544323206e-12,4.288884655998572,4.2888846559962985
SI70,1195.3957545494022,1343.7171751987044,1394.0461971394777,148.32142064930213,50.32902194077337,198.6504425900755
BK628,470.2891760449546,470.28917604495444,470.28917604495234,-1.7053025658242404e-13,-2.1032064978498966e-12,-2.2737367544323206e-12
SI156.01,1860.0020732677547,1860.002073267757,1859.973734632578,2.2737367544323206e-12,-0.028338635178897675,-0.02833863517662394
SI112.01,1488.6962466072325,1488.6962466072305,1488.6962466072284,-2.0463630789890885e-12,-2.0463630789890885e-12,-4.092726157978177e-12
SI40,1022.442171832633,1022.4421718326341,1022.4421718326322,1.1368683772161603e-12,-1.9326762412674725e-12,-7.958078640513122e-13
SI170.08,1694.168185606924,1694.168185606919,1694.1681856069188,-5.002220859751105e-12,-2.2737367544323206e-13,-5.229594535194337e-12
SI208.01,1487.6772439884485,1487.6772439884464,1544.3611908069024,-2.0463630789890885e-12,56.68394681845598,56.68394681845393
SI138,2094.1550145278993,2094.1550145278993,2094.155014527894,0.0,-5.4569682106375694e-12,-5.4569682106375694e-12
SI198,1097.632648619427,1091.7829760414184,1089.8330851820856,-5.849672578008722,-1.9498908593327542,-7.799563437341476
SI112.02,933.9498805309175,933.9498805309164,933.9498805309163,-1.1368683772161603e-12,-1.1368683772161603e-13,-1.2505552149377763e-12
BK702.01,1134.9465318325167,1172.3652592260871,1184.8381683572788,37.41872739357041,12.472909131191727,49.891636524762134
SI176,954.4248596775229,954.42485967752,954.42485967752,-2.9558577807620168e-12,0.0,-2.9558577807620168e-12
QN664,3236.421304757269,3236.4213047572675,3236.4213047572703,-1.3642420526593924e-12,2.7284841053187847e-12,1.3642420526593924e-12
SI208.03,1380.375092341968,1380.37509234197,1380.8391353257825,2.0463630789890885e-12,0.46404298381253284,0.4640429838145792
QN1571.01,3337.1837844297775,3337.1837844297734,3337.183784429764,-4.092726157978177e-12,-9.549694368615746e-12,-1.3642420526593924e-11
SI146.04,2244.858547033024,2244.858547033028,2244.8585470330295,4.092726157978177e-12,1.3642420526593924e-12,5.4569682106375694e-12
SI146.06,1042.2659662550293,1042.2659662550318,1042.2659662550277,2.5011104298755527e-12,-4.092726157978177e-12,-1.5916157281026244e-12
SI189.01,1799.6123612399365,1799.612361239933,1799.6123612399263,-3.410605131648481e-12,-6.821210263296962e-12,-1.0231815394945443e-11
SI244.01,896.5450673968023,896.5450673968027,896.5450673968043,3.410605131648481e-13,1.5916157281026244e-12,1.9326762412674725e-12
SI187.02,2008.1924442658253,2008.1924442658242,2008.1924442658221,-1.1368683772161603e-12,-2.0463630789890885e-12,-3.183231456205249e-12
SI151,1523.2731403787752,1523.2731403787807,1523.2731403787798,5.4569682106375694e-12,-9.094947017729282e-13,4.547473508864641e-12
SI132.03,1492.5935510999,1492.5935510999022,1467.229300539206,2.2737367544323206e-12,-25.36425056069629,-25.364250560694018
SI170.07,971.9185437812716,971.9185437812721,971.9185437812719,4.547473508864641e-13,-2.2737367544323206e-13,2.2737367544323206e-13
SI291.03,1108.6897929320467,1108.689792932044,1107.8303652826926,-2.7284841053187847e-12,-0.8594276493513462,-0.8594276493540747
SI208.04,1200.9266374133408,1200.9266374133376,1372.602819543266,-3.183231456205249e-12,171.6761821299283,171.6761821299251
SI251,2055.5308395129628,2055.530839512959,2055.5308395129578,-3.637978807091713e-12,-1.3642420526593924e-12,-5.002220859751105e-12
SI8,1183.2023090119972,1183.2023090119944,1183.2023090119997,-2.7284841053187847e-12,5.229594535194337e-12,2.5011104298755527e-12
QN376,1786.8063653897073,1786.806365389706,1786.806365389708,-1.3642420526593924e-12,2.0463630789890885e-12,6.821210263296962e-13
SI291.04,1081.9118066254694,1081.911806625471,1081.9118066254687,1.5916157281026244e-12,-2.2737367544323206e-12,-6.821210263296962e-13
SI156.03,950.8010805995832,950.8010805995847,920.7507729384251,1.4779288903810084e-12,-30.050307661159536,-30.050307661158058
SI170.05,1207.2948740566746,1207.2948740566742,1207.2948740566742,-4.547473508864641e-13,0.0,-4.547473508864641e-13
QN1039,2811.857245307585,2811.85724530758,2811.8572453075776,-5.002220859751105e-12,-2.2737367544323206e-12,-7.275957614183426e-12
SI132.04,2032.1647947282088,2032.1647947282088,2032.1647947282058,0.0,-2.9558577807620168e-12,-2.9558577807620168e-12
BX516,510.6758049091193,519.2104739105414,521.5977912357703,8.534669001422117,2.387317325228878,10.921986326650995
QN330,1871.7701304739285,1871.7701304739307,1871.7701304739319,2.2737367544323206e-12,1.1368683772161603e-12,3.410605131648481e-12
SI248,1009.9465923612123,1009.9465923612114,1009.946592361211,-9.094947017729282e-13,-4.547473508864641e-13,-1.3642420526593924e-12
QN1621,913.7609925736843,913.7609925736822,913.7609925736823,-2.1600499167107046e-12,1.1368683772161603e-13,-2.0463630789890885e-12
SI128.04,1646.4768783979657,1646.476878397969,1646.4768783979682,3.183231456205249e-12,-6.821210263296962e-13,2.5011104298755527e-12
QN1617,3338.912603958854,3338.9126039588486,3338.912603958849,-5.4569682106375694e-12,4.547473508864641e-13,-5.002220859751105e-12
QN294,1798.1570689001217,1798.1570689001237,1798.1570689001253,2.0463630789890885e-12,1.5916157281026244e-12,3.637978807091713e-12
BX358,1250.9722940322047,1250.9722940322063,1250.9722940322065,1.5916157281026244e-12,2.2737367544323206e-13,1.8189894035458565e-12
