ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE

"MN135",34080.06345264011
"SI7",175304.57584176006
"SI81",350189.27639424003
"SI323",1828996.0839360007
"SI319.02",187842.1430246401
"SI223",215448.11878031996
"SI207",195739.41239136038
"SI133.02",253728.18931680004
"SI97",574317.3262017599
"SI89",1.6025774400000001
"SI67",549406.2121531198
"SI77",138836.1610368
"SI9",100323.71677151976
"SI11",105234.9895296002
"SI3",57247.82872992
"SI291.02",4903131.26984688
"SI319.01",118010.31881759997
"SI231",183646.4559321601
"SI239",163813.77043632
"SI213",213974.32817952032
"SI105",321682.7914718403
"SI133.01",29212.38544608
"SI75",199007.64843552015
"SI17",172547.91038736003
"SI33",532128.4763860797
"SI21",230972.77418256004
"SI303.02",362171.8872676804
"SI247",113430.05959104
"SI201",210416.93142335993
"SI141",106368.08145696015
"SI151",413525.36649599974
"SI125",205336.27319759995
"SI147",1058137.0579151984
"SI121",329558.94862272014
"SI59",857204.8301030381
"SI39",359850.7512648001
"SI27",92565.0587404801
"SI6",256010.5383004797
"SI291.04",728348.2903972805
"SI303.01",223958.8269201603
"SI251",437530.62945311994
"SI197",97696.67428368026
"SI47",513984.8610604798
"SI29",193441.0840848003
"SI8",261348.88633344046
"SI40",436899.56232815987
"SI189.01",429687.61546176026
"SI187.01",165044.7124905603
"SI169.01",325399.79565071996
"SI36",167709.3807096004
"SI291.03",949082.2669929622
"SI273.01",2058812.5172054416
"SI189.02",293789.0020982398
"SI187.02",386379.56272319943
"SI173",143677.15264512
"SI177",2108356.0826342395
"SI50",323578.57090608
"SI20.01",221311.76382719987
"SI20.02",315498.42190512014
"SI18",572781.0118550397
"SI228",6012031.175913606
"SI273.02",683491.6601107208
"SI181",4130525.434416474
"SI96.01",322602.8102769606
"SI64",278123.4360100803
"SI277.06",94148.91621791986
"SI277.05",128063.51935632022
"SI96.02",226477.24252847987
"SI70",1318432.493452321
"SI74",184121.84078784002
"SI277.02",326053.39176288224
"SI277.04",189477.67781808038
"SI279",4413898.379927514
"SI114.02",208963.78852319965
"SI114.01",244370.62351584007
"SI112.01",760774.6797379215
"SI122",317970.8040571201
"SI112.02",1131758.0255116762
"SI9901",46112.79551616
"SI138",574394.2034673595
"SI134",309504.8751825603
"SI170.07",935970.6054744001
"SI170.08",266038.95695327997
"SI146.05",385867.43471519987
"SI146.06",1084116.069182883
"SI132.01",199451.63206367998
"SI132.04",431950.6870646396
"SI128.06",503600.1824750405
"SI128.04",327102.01160111994
"SI226",4600229.664038405
"SI170.10",341309.92899168
"SI146.07",189515.09451744021
"SI170.12",393643.7907753598
"SI146.08",127623.36797855998
"SI128.05",379830.57195024076
"SI208.01",1364722.4782915213
"SI146.04",345601.58492448024
"SI132.03",380353.0354214403
"SI154",1658148.5082124835
"SI170.09",406830.5876275194
"SI170.05",638181.6629889599
"SI170.11",226428.86327039998
"SI156.01",542584.5509577603
"SI156.03",360560.5537161606
"SI208.03",958369.7374502406
"SI208.04",470219.72536512004
"SI176",1932750.6635232028
"SI156.02",341790.7719009606
"SI198",3292523.058811682
"SI248",675207.7979688
"SI244.01",1167514.4081923186
"SI244.02",1022304.1231295993
"BX138",269868.32735903945
"BX118",331121.53130399983
"BX110",1401479.3338099176
"BX132",128233.90353167996
"QN939",160300.4329468801
"QN973",169681.38708816035
"QN981",162560.97294191987
"QN929",198115.03602720035
"QN945",474467.8329979201
"QN987",136455.05612159995
"QN991",353774.79954576003
"QN999",325675.74090527976
"QN997.05",139648.11038063982
"QN107.01",295440.46976303996
"BX1",483628.65338592004
"QN331",345855.9302222415
"QN947",35355.831223680005
"QN925",38758.10312880002
"QN1039",248646.32335152
"QN1029",115953.79389840004
"QN1033",143480.8717473601
"QN1017",264065.39444880007
"QN997.01",589869.0628401606
"QN997.03",222327.1011513599
"QN997.04",168504.37524864
"QN111",17887.41196704002
"QN113",13377.317761439992
"QN101",16483.275420480008
"QN103",50220.57310704003
"QN105",38746.09541088003
"QN123.01",31955.487056640006
"QN317",159013.26132768026
"QN919",62534.08138319997
"QN907",510286.71619871905
"QN889.01",119369.95480800007
"QN1047",215385.45567984012
"QN1093",458941.0872772811
"QN1483",557962.3963310391
"QN79",15225.414710400046
"QN69",18460.623723840017
"QN83",23444.662788000012
"QN81",7228.715865119999
"QN99",121789.24287264007
"QN87",59671.576140480174
"QN91",37337.708550239986
"QN71",10781.328114720009
"QN115",10682.66508624002
"QN125",17279.8493112
"QN95",18919.425386880008
"QN97",17426.31095376003
"QN117",14638.546206719988
"QN119",6916.050684000003
"QN137",22237.085848320006
"QN121",14185.99227311999
"QN135",20775.44232
"QN357",151112.85648335988
"QN347",67761.78189551999
"QN869",16685.64146736002
"QN1157",67205.08365408005
"QN1161",33084.46802448
"QN1159",80774.47845072011
"QN1059",173610.5353588801
"QN1151",121523.60985552002
