cartodb_id,bbl,tract_10,sba_name,ccd_name,cd_name,boro_name,city_name,tax_delinquency,ser_violation,assessed_value,owner_name,res_units,year_built,buildings,standard_address,applied_filters
6336165,2029760020,36005012300,Morrisania/Belmont,City Council District 17,Morrisania/Crotona,Bronx,New York City,,1,701100,URBAN HORIZONS II HOUSING DEVELOPMENT FU ND,46,2006,1,1321 Louis Nine Boulevard,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6268648,1019200059,36061022800,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,548550,"LAURA B. THOMAS HOUSES, LP",18,1920,1,170 West 136 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6301578,2027090043,36005008700,Mott Haven/Hunts Point,City Council District 17,Hunts Point/Longwood,Bronx,New York City,,,564750,811-827 FOX ST HSNGETC.,8,1907,1,811 Fox Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6269585,1020417503,36061022102,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,,1844996,UNAVAILABLE OWNER,14,1894,1,2605 Fredrick Douglass Bl,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6300678,2026990052,36005012901,Mott Haven/Hunts Point,City Council District 17,Hunts Point/Longwood,Bronx,New York City,,,192150,ROSINA ASSOCIATES L.P,22,1925,1,985 Intervale Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6675756,3052567502,36047017100,Sunset Park,City Council District 39,Sunset Park,Brooklyn,New York City,,,1223342,UNAVAILABLE OWNER,15,2007,5,1671 11 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6273782,1019180061,36061022600,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,589050,"HPH COURT, LLC",17,1926,2,2273 Adam C Powell Blvd,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6491938,3013790039,36047034900,North Crown Heights/Prospect Heights,City Council District 36,Crown Heights/Prospect Heights,Brooklyn,New York City,,,607500,NYC HOUSING AUTHORITY,8,1931,1,1522 Sterling Place,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6382081,3001870014,36047004300,Brooklyn Heights/Fort Greene,City Council District 33,Fort Greene/Brooklyn Heights,Brooklyn,New York City,,1,1268550,"256 PACIFIC DEVELOPMENT, LLC",25,1920,1,256 Pacific Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6299681,2033380035,36005041900,Kingsbridge Heights/Mosholu,City Council District 11,Kingsbridge Heights/Bedford,Bronx,New York City,,,10800900,MONTEFIORE HOSPITAL,,1985,2,150 East 210 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6302528,1020350001,36061023400,Central Harlem,City Council District 9,Central Harlem,Manhattan,New York City,,1,12226950,DUNBAR OWNER LLC,538,1928,6,2802 Fredrick Douglass Bl,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6312526,2026880048,36005008500,Mott Haven/Hunts Point,City Council District 17,Hunts Point/Longwood,Bronx,New York City,,,997200,HOUSING DEV. FUND CORP,39,1925,1,850 Longwood Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6279154,2022650048,36005002500,Mott Haven/Hunts Point,City Council District 8,Mott Haven/Melrose,Bronx,New York City,1,,284400,215 ST ANN'S REALTY PARTNERS GROUP LLC,10,1920,1,215 St Anns Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6408628,3018967501,36047019100,Brooklyn Heights/Fort Greene,City Council District 33,Bedford Stuyvesant,Brooklyn,New York City,,,685798,UNAVAILABLE OWNER,10,2008,1,195 Classon Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6559356,3071797501,36047038800,Sheepshead Bay/Gravesend,City Council District 47,Sheepshead Bay,Brooklyn,New York City,,,289902,UNAVAILABLE OWNER,6,2006,1,2400 East 4 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6442808,3019540052,36047023300,Bedford Stuyvesant,City Council District 36,Bedford Stuyvesant,Brooklyn,New York City,,,393030,357 GREEN AVENUE HOUSING DEVELOPMENT FUN D CORP,8,1905,1,357 Greene Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6357348,3013790031,36047034900,North Crown Heights/Prospect Heights,City Council District 36,Crown Heights/Prospect Heights,Brooklyn,New York City,,,868500,NYC HOUSING AUTHORITY,32,1922,1,1506 Sterling Place,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6357006,3013690005,36047035900,North Crown Heights/Prospect Heights,City Council District 41,Crown Heights/Prospect Heights,Brooklyn,New York City,,,257400,EL DORADO LP,6,1910,1,201 Buffalo Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6420676,3013520080,36047034300,North Crown Heights/Prospect Heights,City Council District 36,Crown Heights/Prospect Heights,Brooklyn,New York City,,,26981100,NYC HOUSING AUTHORITY,829,1950,6,193 Albany Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6276678,1021080060,36061023900,Washington Heights/Inwood,City Council District 7,Washington Heights/Inwood,Manhattan,New York City,,,776250,WASHINGTON HEIGHTS HOUSING DEVELOPMENT F UND ETC,24,1904,1,494 West 158 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6294075,1017537503,36061020600,Central Harlem,City Council District 9,East Harlem,Manhattan,New York City,,,1297351,UNAVAILABLE OWNER,13,2007,1,2077 5 Avenue,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
6535010,3066527501,36047042400,Bensonhurst,City Council District 44,Bensonhurst,Brooklyn,New York City,,,4036503,UNAVAILABLE OWNER,37,2008,1,1740 West 4 Street,"Has Subsidies, Affordability Start Date is no later than 03/01/2011"
